# Heartfall — canonical SFX manifest
# One line per clip:  file | event id | description of the sound | usage context
# Every clip is 48 kHz mono Opus (96 kbps VBR, loudness-normalised to -20 LUFS),
# generated with MOSS-SoundEffect v2.0 at 100 inference steps from the prompt in
# manifest.json. Every event id below is dispatched by playSfx() in js/game.js and
# has a synthesized WebAudio fallback there, so the cue still fires if a clip is
# missing or undecodable. All clips route through the effects bus (Settings > Effects).

ui-click.opus       | ui-click       | A soft fingertip tap on a polished wooden button, short warm tick with a gentle room ambience. | Any forward menu button: title, mode select, pause Resume/Settings, Play again, Next lesson.
ui-back.opus        | ui-back        | A muted wooden toggle flicking back, soft low knock with a brief felt brush. | The back arrow in every sub-screen header, and Leave to title from the pause and results overlays.
pause.opus          | pause          | A heavy velvet curtain drawn halfway closed, soft fabric hush ending in a low gentle thump. | Opening the pause overlay via the pause button or Escape.
card-select.opus    | card-select    | A single playing card lifted from a felt card table, crisp paper snap with a light finger slide. | Tapping a card in your hand: selecting or deselecting a pass card, and every hand touch.
card-play.opus      | card-play      | A playing card placed firmly face-up onto a felt card table, sharp paper slap with a soft fabric thud. | Your card landing in the trick, and each opponent card landing during the AI turn loop.
card-pass.opus      | card-pass      | Three playing cards slid across green felt in one smooth motion, sustained soft paper whisper. | Confirming your pass with the Pass button in the pass phase.
cards-deal.opus     | cards-deal     | Playing cards dealt quickly one by one onto a wooden table, a rapid series of light paper snaps. | Entering the play screen at the start of a match, lesson, or Play again restart.
invalid.opus        | invalid        | A knuckle rapping twice on a wooden table edge, dull short warning knocks. | Any rejected action: illegal card, wrong pass count, undo with an empty stack. Always paired with a toast naming the reason.
turn-prompt.opus    | turn-prompt    | A small brass bell chimed once softly, gentle high ring with a quick natural decay. | Control returning to seat 0 after the AI seats have played.
hint.opus           | hint           | A fingernail tapping once on a glass conservatory pane, bright delicate ting. | The Hint button or H key in Practice and Learn, as the suggested card is outlined.
undo.opus           | undo           | A playing card drawn back across felt toward the player's hand, soft dragging paper slide. | The Undo button or U key in Practice and Learn, as the previous state is restored.
trick-take.opus     | trick-take     | A small stack of playing cards gathered and scooped across felt into a neat pile, layered paper slides ending with a soft tap. | A completed trick that seat 0 won; opponents winning a trick get card-play instead.
heart-taken.opus    | heart-taken    | A single card dropped onto a pile with a soft heavy landing, muted paper thud with low warmth. | Reserved penalty-heart accent; the running penalty cue in the current build is hearts-broken.
queen-taken.opus    | queen-taken    | A heavy card placed slowly and deliberately onto a wooden table, deep paper thud with a low room resonance. | The Nightshade Queen (Q-spades) hitting the table, whoever plays her.
hearts-broken.opus  | hearts-broken  | A thin pane of conservatory glass cracking softly, delicate crystalline splinter followed by a low resonant hum. | The first heart of a round is played and hearts become legal to lead.
eclipse.opus        | eclipse        | A full deck of cards fanned and swept in a wide arc across a table, dramatic cascading paper flourish. | A seat captures all 26 penalty points in one round and the eclipse rule flips the scores.
round-end.opus      | round-end      | A neat stack of cards squared up and tapped twice on the table, tidy paper taps with a settling shuffle. | A round is scored and the next hand is dealt.
lesson-complete.opus| lesson-complete| A small glass wind chime struck once and left to settle, three bright bell tones with a warm gentle decay. | A Learn lesson goal is satisfied and the lesson-complete overlay opens.
match-win.opus      | match-win      | A celebratory cascade of cards riffled and sprung between two hands, bright fluttering paper crescendo. | The results overlay opens with seat 0 among the winners.
match-lose.opus     | match-lose     | Cards slowly gathered and stacked in near silence, slow deliberate paper slides ending in a single soft thud. | The results overlay opens with seat 0 not among the winners.
